                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3384,                 1.3694,                 1.3222,                0.78708,                0.84057,                0.83944,                 0.5777,                 1.2786,                 1.3791,                 1.2687,              0.0005529,              0.0005529,              0.0005529
                      2,                 1.0175,                0.79725,                 1.1502,                0.92093,                0.86347,                0.93703,                0.71833,                 1.1853,                0.96074,                 1.2413,             0.00097138,             0.00097138,             0.00097138
                      3,                0.91305,                0.69417,                 1.1014,                0.92495,                0.87278,                0.93383,                0.70889,                 1.1076,                  1.044,                 1.2009,              0.0012523,              0.0012523,              0.0012523
